Index,Surname,#Awards,Education,DBLP
465,Schölkopf,10,"['University of London', 'University of Tübingen', 'TU Berlin']",869
466,Scott,0,[],2124
467,Sedgewick,4,['Brown University'],100
468,Sethi,0,"['Indian Institute of Technology, Kanpur', 'Princeton University']",93
469,Shadbolt,2,"['Newcastle University', 'University of Edinburgh']",338
470,Shamir,6,"['Tel Aviv University', 'Weizmann Institute of Science']",294
471,Shannon,10,"['University of Michigan', 'AB', 'BS', 'Massachusetts Institute of Technology', 'MS', 'PhD']",26
472,Shaw,0,[],35
473,Shekhar,28,"['University of California, Berkeley']",375
474,Shenker,5,"['Brown University', 'University of Chicago']",370
475,Shneiderman,3,"['City College of New York', 'Stony Brook University']",502
476,Shortliffe,0,"['Harvard University', 'Stanford University']",121
477,Siewiorek,4,"['University of Michigan', 'B.A.', 'Stanford University', 'M.A.', 'Ph.D.']",270
478,Sifakis,2,"['National Technical University of Athens', 'University of Grenoble']",240
479,Simon,10,['University of Chicago'],172
480,Singh,5,"['University of Texas at Austin', 'Indian Institute of Technology Delhi']",473
481,Sitaraman,0,"['Indian Institute of Technology, Madras', '[2]', 'Princeton University', '[2]']",159
482,Sleator,2,"['University of Illinois at Urbana–Champaign', 'Stanford University']",42
483,Sloman,0,[],69
484,Smith,0,['MIT'],2330
485,Spewak,0,['Case Western Reserve University'],2
486,Spradling,0,['University of Nebraska - Lincoln'],9
487,Sproull,0,"['Deep Springs College', 'Cornell University']",34
488,Srihari,0,"['University of Waterloo', 'University at Buffalo']",282
489,Stachowiak,0,"['Course 6 - Electrical Engineering and Computer Science', 'S.B.', 'M.Eng.']",5
490,Stallman,5,"['Harvard University', 'BS', 'Massachusetts Institute of Technology']",13
491,Stamper,0,['United Kingdom'],28
492,Stearns,2,"['Carleton College', 'Princeton University']",106
493,Stepanov,0,[],47
494,Sterling,6,"['Old Dominion University', 'Massachusetts Institute of Technology']",133
495,Stevens,0,"['University of Michigan', 'University of Arizona']",0
496,Stockmeyer,0,[],86
497,Stolfo,0,[],180
498,Stonebraker,2,"['Princeton University', 'University of Michigan']",425
499,Storaasli,0,['University of Edinburgh'],3
500,Strachey,0,['University of Cambridge'],17
501,Strassen,8,['University of Göttingen'],21
502,Stroustrup,11,"['Aarhus University', 'Cand.scient.', 'University of Cambridge', 'PhD']",78
503,Sudan,2,"['IIT Delhi', 'University of California, Berkeley']",350
504,Sussman,2,"['SB', 'PhD']",38
505,Sutherland,1,"['RPI', 'MIT']",49
506,Sweeney,0,"['Harvard University', 'ALB', 'MIT', 'SM', 'PhD']",49
507,Szegedy,2,['University of Chicago'],119
508,Sølvberg,0,[],50
509,Tabriz,0,['University of Illinois at Urbana–Champaign'],8
510,Tamassia,4,[],305
511,Tanenbaum,22,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",214
512,Tardos,5,['Eötvös Loránd University'],150
513,Tarjan,3,"['California Institute of Technology', 'BS', 'Stanford University', 'MS', 'PhD']",349
514,Tate,2,"['Lancaster University', 'University of Edinburgh']",63
515,Taylor,5,"['Purdue University', 'University of California at Berkeley']",119
516,Teevan,7,"['Yale University', 'BS', 'Massachusetts Institute of Technology', 'PhD']",145
517,Tesler,0,['Stanford University'],10
518,Thacker,3,"['University of California, Berkeley']",15
519,Thalheim,4,"['Dresden University of Technology', 'Lomonosov Moscow State University']",383
520,Thalmann,4,['University of Geneva'],592
521,Thompson,9,"['University of California, Berkeley']",170
522,Thrun,3,"['University of Bonn', 'University of Hildesheim']",328
523,Tichy,0,"['Technische Universität München', 'Carnegie Mellon University']",207
524,Toda,0,[],41
525,Torvalds,3,"['University of Helsinki', '[2]']",2
526,Toussaint,11,['University of Tulsa'],212
527,Townsend,2,['Indiana University'],42
528,Tozer,0,[],3
529,Traub,0,[],102
530,Tucker,0,['University of Warwick'],182
531,Tukey,7,"['Brown University', 'Princeton University']",11
532,Turing,2,"['University of Cambridge', 'BA', 'MA', 'Princeton University']",22
533,Turner,0,"['D.Phil.', 'University of Oxford']",361
534,Turoff,1,"['University of California - Berkeley', 'Brandeis University']",135
535,Ullman,4,"['Columbia University', 'Princeton University']",343
536,Valiant,6,"['University of Cambridge', 'Imperial College London', 'University of Warwick']",119
537,Vapnik,11,"['Institute of Control Sciences, Russian Academy of Sciences', 'Uzbek State University']",85
538,Vardi,7,"['Bar-Ilan University', 'Weizmann Institute of Science', '[4]', 'Hebrew University of Jerusalem']",772
539,Vauquois,0,['Ph.D.'],12
540,Vazirani,2,"['MIT', 'University of California, Berkeley']",112
541,Veloso,3,"['Instituto Superior Técnico', 'University of Lisbon', 'Boston University', 'Carnegie Mellon University']",626
542,Vernadat,0,['University of Clermont'],97
543,Veryard,0,['Open University'],8
544,Vilkomir,4,"['Kharkov State University', 'Kharkov Polytechnic Institute']",39
545,Viterbi,8,"['Massachusetts Institute of Technology', 'BS', 'MS', 'University of Southern California', 'PhD']",51
546,Vitter,0,"['University of Notre Dame', 'BS', 'Duke University', 'MBA', 'Stanford University', 'PhD']",307
547,Vitányi,8,"['Delft University of Technology', 'Free University of Amsterdam']",254
548,Vixie,0,['Keio University'],35
549,Wada,0,['University of Tokyo'],7
550,Wadler,4,"['Stanford University', 'Carnegie Mellon University']",169
551,Wagner,0,[],637
552,Waltz,2,['Massachusetts Institute of Technology'],60
553,Wang,2,"['Stanford University', 'M.S.', 'M.S.', 'Ph.D.', 'University of Minnesota', 'B.S.']",2841
554,Ward,0,[],142
555,Warmuth,3,"['University of Colorado, Boulder']",241
556,Warren,0,['University of Edinburgh'],598
557,Warwick,4,"['Aston University', 'Imperial College London']",120
558,Wegner,2,['[1]'],154
559,Wegstein,0,"['University of Illinois', 'B.S.', 'M.S.']",12
560,Weinberger,0,"['University of California, Berkeley']",20
561,Weiser,0,['University of Michigan'],69
562,Weizenbaum,0,['Wayne State University'],19
563,Westervelt,0,[],2
564,Wheeler,3,['University of Cambridge'],208
565,Whittaker,3,[],205
566,Widom,6,"['Cornell University', 'Indiana University Jacobs School of Music']",218
567,Wiederhold,3,"['University of California, San Francisco']",204
568,Wiener,2,"['Tufts College', 'BA', 'Cornell University', 'MA', 'Harvard University', 'PhD']",5
569,Wijngaarden,2,['Delft University of Technology'],48
570,Wilkes,0,"['Wellesley College', 'Harvard Law School']",84
571,Wilkinson,3,"['Trinity College, Cambridge']",69
572,Wilks,1,['University of Cambridge'],199
573,Wilson,6,"['Selwyn College, Cambridge', 'University of Cambridge']",17
574,Winograd,1,"['Colorado College', 'Massachusetts Institute of Technology']",117
575,Winston,1,"['MIT', '[1]']",55
576,Wirth,5,"['BS', 'MSc', 'Université Laval', 'University of California, Berkeley']",92
577,Wiseman,0,"['University of Cambridge', 'University of Illinois', 'Queen Mary College']",28
578,Wolfram,2,"[""St. John's College, Oxford"", 'California Institute of Technology']",51
579,Woodward,3,['Oxford University'],26
580,Worsley,3,"['University of Toronto', 'Massachusetts Institute of Technology', 'University of Cambridge']",2
581,Wozniak,13,"['University of Colorado Boulder', 'De Anza College', 'University of California, Berkeley', 'BS', '[3]']",13
582,Wu,0,[],6947
583,Wulf,0,"['University of Illinois Urbana-Champaign', 'University of Virginia']",149
584,Węglarz,0,['Poznań University of Technology'],72
585,Yannakakis,2,"['National Technical University of Athens', 'Princeton University']",290
586,Yao,4,"['National Taiwan University', 'Harvard University', 'University of Illinois at Urbana–Champaign']",444
587,Yen,2,"['University of California, Berkeley', 'Santa Clara University', 'National Taiwan University', 'National Hsinchu Senior High School']",414
588,Yourdon,1,['Massachusetts Institute of Technology'],18
589,Yung,6,['Columbia University'],604
590,Zadeh,12,"['University of Tehran', 'Massachusetts Institute of Technology', 'Columbia University']",195
591,Zaman,0,"['Stanford University', '[2]', 'Harvey Mudd College', 'Claremont Graduate University']",35
592,Zantema,0,['University of Amsterdam'],118
593,Zdonik,0,['Massachusetts Institute of Technology'],194
