Index,Surname,#Awards,Education,DBLP
112,Demaine,3,"['Dalhousie University', 'University of Waterloo']",740
113,Denning,2,"['University of Michigan', 'Purdue University']",305
114,Dertouzos,0,[],17
115,Dewar,0,"['University of Chicago', 'B.S.', 'Ph.D.']",54
116,Dewdney,0,[],0
117,Dham,0,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University', 'University of Cincinnati']",2
118,Dietz,0,['Eindhoven University of Technology'],172
119,Diffie,6,['Massachusetts Institute of Technology'],43
120,Dijkstra,5,"['Leiden University', 'University of Amsterdam']",97
121,Dillon,0,"['University of California, Berkeley']",27
122,Dix,0,[],287
123,Dongarra,15,"['Chicago State University', 'BS', 'Illinois Institute of Technology', 'MS', 'University of New Mexico', 'PhD']",985
124,Dorigo,0,[],312
125,Dourish,7,['Computer Science'],156
126,Draper,6,"['Massachusetts Institute of Technology', 'Stanford University']",12
127,Dumais,1,"['Indiana University', 'Bates College']",208
128,Dunkels,0,"['Swedish Institute of Computer Science', 'B.S.', 'M.S.', 'Ph.D.']",55
129,Dunn,11,"['Oberlin College', 'University of Pittsburgh']",142
130,Dustdar,0,[],912
131,Eades,0,[],221
132,Eckert,4,['University of Pennsylvania'],0
133,Edelman,7,"['MIT', 'Yale University']",88
134,Eich,0,"['University of Illinois Urbana-Champaign', 'Santa Clara University']",13
135,Emerson,2,"['Harvard', 'UT Austin']",0
136,Engelbart,7,"['Oregon State University', 'University of California, Berkeley']",18
137,Engelhardt,2,"['Stanford University', 'University of California, Berkeley']",63
138,Eppstein,0,"['Stanford University', 'Columbia University']",677
139,Etzioni,2,"['Harvard University', 'Carnegie Mellon University']",187
140,Evans,0,"['University College London', 'University of Reading']",1221
141,Even,0,['Harvard University'],119
142,Fahlman,3,"['Massachusetts Institute of Technology', 'B.S.', 'M.S.', 'Ph.D.']",34
143,Fayed,0,"['Menoufia University', 'King Saud University']",17
144,Feigenbaum,4,['Carnegie Mellon University'],44
145,Felten,2,"['California Institute of Technology', 'BS', 'University of Washington', 'MS', 'PhD']",114
146,Finin,3,['University of Illinois'],357
147,Finkel,0,['University of Chicago'],66
148,Firesmith,0,['Arizona State University'],60
149,Fischer,8,"['University of British Columbia', 'University of Cambridge']",22
150,Flake,0,[],32
151,Floyd,1,"['University of California, Berkeley']",83
152,Fogel,0,"['New York University', 'Rutgers University', 'University of California, Los Angeles']",22
153,Foley,11,"['University of Michigan', 'Lehigh University']",151
154,Forbus,0,"['Massachusetts Institute of Technology', 'BS', 'MS', 'PhD']",208
155,Fortnow,7,"['Cornell University', 'Massachusetts Institute of Technology']",235
156,Fowler,0,"['University College London', 'BSc', '[1]']",69
157,France,2,"['University of the West Indies', 'Trinidad and Tobago', 'Massey University', 'New Zealand']",2456
158,Franke,9,[],37
159,Fredkin,2,['California Institute of Technology'],8
160,Freund,2,"['The Hebrew University of Jerusalem', 'University of California, Santa Cruz']",113
161,Friedman,0,"['University of Houston', '[1]']",253
162,Fu,6,[],528
163,Fukushima,1,['Kyoto University'],91
164,Fulkerson,5,"['Southern Illinois University', 'University of Wisconsin–Madison']",0
165,Gabriel,2,"['Northeastern University', 'Massachusetts Institute of Technology', 'University of Illinois', 'Stanford University', 'Warren Wilson College']",415
166,Galil,3,"['Tel Aviv University', 'BSc', 'MSc', 'Cornell University', 'PhD']",199
167,Galler,0,"['University of Chicago', 'UCLA']",57
168,García-Molina,3,"['Monterrey Institute of Technology and Higher Education', 'BS', 'Stanford University', 'MS', 'PhD']",468
169,Garey,0,['University of Wisconsin–Madison'],63
170,Garis,0,[],95
171,Gates,4,['Harvard University'],9
172,Gelernter,3,"['Yale University', 'BA', 'State University of New York at Stony Brook', 'PhD']",68
173,Geschke,3,"['Xavier University', 'AB', 'MS', 'Carnegie Mellon University', 'PhD']",11
174,Ghahramani,3,"['University of Pennsylvania', 'Massachusetts Institute of Technology']",322
175,Ghemawat,1,"['Cornell University', 'MIT']",28
176,Gibbons,0,"['University of Edinburgh', 'B.Sc.', 'University of Oxford', 'D.Phil.']",162
177,Gil,3,[],237
178,Gilbert,1,"['Miami University', 'University of Cincinnati']",228
179,Giles,7,"['Rhodes College', 'University of Tennessee', 'University of Michigan', 'University of Arizona']",591
180,Ginsburg,0,"['City College of New York', 'University of Michigan']",117
181,Glass,0,[],486
182,Goel,3,['Ohio State University'],266
183,Goguen,0,"['Harvard University', 'University of California, Berkeley']",137
184,Gold,0,[],0
185,Goldberg,2,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",154
186,Goldreich,2,"['Technion', 'Weizmann Institute']",526
187,Goldsmith,0,[],166
188,Goldwasser,11,"['Carnegie Mellon University', 'University of California, Berkeley']",234
189,Golub,0,['University of Illinois at Urbana-Champaign'],118
190,Golumbic,0,[],110
191,Gonnet,1,['University of Waterloo'],102
192,Goodfellow,0,"['Stanford University', 'Université de Montréal']",110
193,Gosling,7,"['University of Calgary', 'BSc', 'Carnegie Mellon University', 'MA', 'PhD']",15
194,Graham,0,"['Cornell University', 'Harvard University']",111
195,Gray,2,"['University of California, Berkeley']",243
196,Greibach,0,"['Radcliffe College', 'Harvard University']",77
197,Gries,4,"['B.S.', 'Queens College', 'M.S.', 'University of Illinois at Urbana-Champaign', 'Dr. rer. nat.', 'Technical University of Munich']",158
198,Griesemer,0,[],10
199,Griswold,0,[],47
200,Gropp,2,['Stanford University'],310
201,Gruber,0,['Loyola University New Orleans'],43
202,Guha,16,"['Indian Institute of Technology Madras', 'University of California, Berkeley', 'Stanford University']",44
203,Gunther,9,"['La Trobe University', 'University of Southampton']",59
204,Gutknecht,0,"['Ph.D.', 'ETH Zurich']",47
205,Guy,0,[],579
206,Gödel,3,"['University of Vienna', 'PhD']",4
207,Habermann,0,"['Free University of Amsterdam', 'Eindhoven University of Technology']",34
208,Hahn,0,[],66
209,Hall,1,"['University of Washington', 'Rutgers University', 'Eastern Nazarene College', 'Boston University', 'Massachusetts Institute of Technology', 'Harvard University']",289
210,Halpern,3,['University of Toronto'],634
211,Hamilton,1,"['University of Michigan', 'Earlham College', 'BA']",132
212,Hamming,4,"['University of Chicago', 'University of Nebraska', 'University of Illinois at Urbana–Champaign']",23
213,Han,0,"['University of Wisconsin - Madison', 'PhD', 'University of Science and Technology of China', 'BSc.']",1513
214,Hansen,1,['Technical University of Denmark'],281
215,Harary,0,"['Brooklyn College', 'University of California, Berkeley']",117
216,Harris,0,"['School of Oriental and African Studies', 'American University in Cairo', ""Quai d'Orsay""]",151
217,Hartmanis,2,"['University of Marburg', 'University of Kansas City', 'Caltech']",135
218,Hatton,2,"[""King's College, Cambridge""]",50
219,Hawryszkiewycz,0,[],149
