Unnamed: 0,Surname,#Awards,Education,DBLP
125,Date,0,['University of Cambridge'],127
126,Davis,0,"[""Bachelor's degree"", 'computer engineering', ""master's degree"", 'electrical engineering', 'Arizona State University']",22
127,Dean,6,"['University of Minnesota', 'University of Washington']",232
128,Demaine,3,"['Dalhousie University', 'University of Waterloo']",740
129,DeMarco,2,"['Cornell University', 'Columbia University', 'University of Paris']",40
130,DeMillo,0,"['University of St. Thomas', 'Georgia Institute of Technology']",61
131,Denning,2,"['University of Michigan', 'Purdue University']",305
132,Denning,2,"['Massachusetts Institute of Technology', '[1]', 'Manhattan College']",305
133,Dertouzos,0,[],17
134,Dewdney,0,[],0
135,Dewar,0,"['University of Chicago', 'B.S.', 'Ph.D.']",54
136,Dham,0,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University', 'University of Cincinnati']",2
137,Dietz,0,['Eindhoven University of Technology'],172
138,Diffie,6,['Massachusetts Institute of Technology'],43
139,Dijkstra,5,"['Leiden University', 'University of Amsterdam']",97
140,Dillon,0,"['University of California, Berkeley']",27
141,Dix,0,[],287
142,Dongarra,15,"['Chicago State University', 'BS', 'Illinois Institute of Technology', 'MS', 'University of New Mexico', 'PhD']",985
143,Dorigo,0,[],312
144,Dourish,7,['Computer Science'],156
145,Draper,6,"['Massachusetts Institute of Technology', 'Stanford University']",12
146,Dumais,1,"['Indiana University', 'Bates College']",208
147,Dunkels,0,"['Swedish Institute of Computer Science', 'B.S.', 'M.S.', 'Ph.D.']",55
148,Dunn,11,"['Oberlin College', 'University of Pittsburgh']",142
149,Dustdar,0,[],912
150,Eades,0,[],221
153,Eckert,4,['University of Pennsylvania'],0
154,Edelman,7,"['MIT', 'Yale University']",88
155,Eich,0,"['University of Illinois Urbana-Champaign', 'Santa Clara University']",13
157,Emerson,2,"['Harvard', 'UT Austin']",0
158,Engelbart,7,"['Oregon State University', 'University of California, Berkeley']",18
159,Engelhardt,2,"['Stanford University', 'University of California, Berkeley']",63
160,Eppstein,0,"['Stanford University', 'Columbia University']",677
163,Etzioni,2,"['Harvard University', 'Carnegie Mellon University']",187
164,Evans,0,"['University College London', 'University of Reading']",1221
165,Evans,3,[],1221
166,Even,0,['Harvard University'],119
167,Fahlman,3,"['Massachusetts Institute of Technology', 'B.S.', 'M.S.', 'Ph.D.']",34
168,Feigenbaum,4,['Carnegie Mellon University'],44
169,Felten,2,"['California Institute of Technology', 'BS', 'University of Washington', 'MS', 'PhD']",114
170,Finin,3,['University of Illinois'],357
171,Finkel,0,['University of Chicago'],66
172,Firesmith,0,['Arizona State University'],60
173,Flake,0,[],32
175,Floyd,2,"['University of Chicago', 'B.A.']",83
176,Floyd,1,"['University of California, Berkeley']",83
177,Fogel,0,"['New York University', 'Rutgers University', 'University of California, Los Angeles']",22
178,Foley,11,"['University of Michigan', 'Lehigh University']",151
179,Forbus,0,"['Massachusetts Institute of Technology', 'BS', 'MS', 'PhD']",208
180,Jr.,0,[],178
181,Fortnow,7,"['Cornell University', 'Massachusetts Institute of Technology']",235
182,Fayed,0,"['Menoufia University', 'King Saud University']",17
183,Fowler,0,"['University College London', 'BSc', '[1]']",69
184,France,2,"['University of the West Indies', 'Trinidad and Tobago', 'Massey University', 'New Zealand']",2456
185,Franke,9,[],37
186,Fredkin,2,['California Institute of Technology'],8
187,Freund,2,"['The Hebrew University of Jerusalem', 'University of California, Santa Cruz']",113
188,Friedman,0,"['University of Houston', '[1]']",253
189,Fischer,8,"['University of British Columbia', 'University of Cambridge']",22
190,Fu,53,"['University of California, San Diego']",528
