Unnamed: 0,Surname,#Awards,Education,DBLP
498,Ritchie,8,"['Harvard University', 'BS']",16
499,Rivest,5,"['Stanford University', 'Yale University']",234
500,Robinson,2,['University of Sydney'],113
501,Rolland,0,['University of Nancy'],178
502,Romero,0,[],164
503,Rosenfeld,3,[],461
504,Ross,3,"['Oberlin College', 'B.Sc.', 'Massachusetts Institute of Technology', 'M.Sc.']",138
505,Rossum,2,['University of Amsterdam'],14
506,Rothman,0,['United States Patent and Trademark Office'],0
508,Rucker,0,"['St. Xavier High School', 'Swarthmore College', 'BA', 'Rutgers University', 'MS', 'PhD']",5
509,Rudich,1,[],40
510,Rulifson,25,"['University of Washington', 'Stanford University']",6
511,Rumbaugh,0,[],50
512,Ružička,4,['Comenius University in Bratislava'],48
513,Sadowsky,0,['Harvard University'],2
514,Sadrzadeh,0,"['Université du Québec à Montréal', 'Sharif University of Technology']",119
515,Saif,0,"['Lahore University of Management Sciences', 'University of Cambridge', 'Massachusetts Institute of Technology']",54
516,Salton,6,"['Brooklyn College', 'Harvard University']",183
517,Sammet,3,"['Mount Holyoke College', 'B.A.', 'University of Illinois at Urbana Champaign', 'M.A.', 'Columbia University']",56
518,Sammut,0,[],133
520,Satyanarayanan,5,"['Carnegie Mellon University (Ph.D.)', 'IIT Madras (M.Tech., B.Tech.)']",220
521,Savitch,0,"['University of California, Berkeley']",32
522,Schaeffer,2,"['University of Waterloo', 'University of Toronto']",278
524,Schmidhuber,0,['Technical University of Munich'],462
525,Schneider,0,['University of Oxford'],230
526,Schneier,0,"['American University', 'University of Rochester']",164
527,Schneider,5,['Stony Brook University'],230
528,Schoenebeck,6,"['Georgia Institute of Technology', 'University of California, Berkeley', 'Dartmouth College']",78
530,Schölkopf,10,"['University of London', 'University of Tübingen', 'TU Berlin']",869
531,Scott,6,"['UC Berkeley', 'Princeton University']",2124
532,Scott,0,[],2124
533,Sedgewick,4,['Brown University'],100
534,Sethi,0,"['Indian Institute of Technology, Kanpur', 'Princeton University']",93
535,Shadbolt,2,"['Newcastle University', 'University of Edinburgh']",338
536,Shamir,6,"['Tel Aviv University', 'Weizmann Institute of Science']",294
537,Shannon,10,"['University of Michigan', 'AB', 'BS', 'Massachusetts Institute of Technology', 'MS', 'PhD']",26
538,Shaw,0,"['University of California, San Diego', 'BS', 'Stanford University', 'MS', 'PhD']",35
539,Shaw,0,[],35
540,Shenker,5,"['Brown University', 'University of Chicago']",370
541,Shekhar,28,"['University of California, Berkeley']",375
542,Shneiderman,3,"['City College of New York', 'Stony Brook University']",502
543,Shortliffe,0,"['Harvard University', 'Stanford University']",121
544,Siewiorek,4,"['University of Michigan', 'B.A.', 'Stanford University', 'M.A.', 'Ph.D.']",270
545,Sifakis,2,"['National Technical University of Athens', 'University of Grenoble']",240
546,Simon,10,['University of Chicago'],172
547,Singh,5,"['University of Texas at Austin', 'Indian Institute of Technology Delhi']",473
548,Sitaraman,0,"['Indian Institute of Technology, Madras', '[2]', 'Princeton University', '[2]']",159
549,Sleator,2,"['University of Illinois at Urbana–Champaign', 'Stanford University']",42
550,Sloman,0,[],69
551,Sølvberg,0,[],50
552,Smith,0,['MIT'],2330
553,Smith,1,"['Oberlin College', 'Stanford University']",2330
554,Spewak,0,['Case Western Reserve University'],2
555,Spradling,0,['University of Nebraska - Lincoln'],9
556,Sproull,0,"['Deep Springs College', 'Cornell University']",34
557,Srihari,0,"['University of Waterloo', 'University at Buffalo']",282
558,Srihari,3,"['Bangalore University', 'Indian Institute of Science', 'Ohio State University']",282
559,Stachowiak,0,"['Course 6 - Electrical Engineering and Computer Science', 'S.B.', 'M.Eng.']",5
560,Stallman,5,"['Harvard University', 'BS', 'Massachusetts Institute of Technology']",13
561,Stamper,0,['United Kingdom'],28
562,Stearns,2,"['Carleton College', 'Princeton University']",106
563,Jr.,2,"['BA', 'Harvard University', 'MS', 'PhD', 'MIT']",178
564,Sterling,6,"['Old Dominion University', 'Massachusetts Institute of Technology']",133
565,Stepanov,0,[],47
566,Stevens,0,"['University of Michigan', 'University of Arizona']",0
567,Stockmeyer,0,[],86
568,Stolfo,0,[],180
569,Stonebraker,2,"['Princeton University', 'University of Michigan']",425
570,Storaasli,0,['University of Edinburgh'],3
571,Strachey,0,['University of Cambridge'],17
572,Strassen,8,['University of Göttingen'],21
573,Stroustrup,11,"['Aarhus University', 'Cand.scient.', 'University of Cambridge', 'PhD']",78
574,Sudan,2,"['IIT Delhi', 'University of California, Berkeley']",350
575,Sussman,2,"['SB', 'PhD']",38
576,Sutherland,1,"['RPI', 'MIT']",49
577,Sutherland,8,"['MIT', 'Caltech', 'Carnegie Institute of Technology']",49
578,Sweeney,0,"['Harvard University', 'ALB', 'MIT', 'SM', 'PhD']",49
579,Szegedy,2,['University of Chicago'],119
580,Tabriz,0,['University of Illinois at Urbana–Champaign'],8
581,Tamassia,4,[],305
582,Tanenbaum,22,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",214
583,Tate,2,"['Lancaster University', 'University of Edinburgh']",63
584,Thalheim,4,"['Dresden University of Technology', 'Lomonosov Moscow State University']",383
585,Tardos,5,['Eötvös Loránd University'],150
586,Tardos,4,['Eötvös Loránd University'],150
587,Tarjan,3,"['California Institute of Technology', 'BS', 'Stanford University', 'MS', 'PhD']",349
588,Taylor,5,"['Purdue University', 'University of California at Berkeley']",119
590,Teevan,7,"['Yale University', 'BS', 'Massachusetts Institute of Technology', 'PhD']",145
592,Tesler,0,['Stanford University'],10
594,Thacker,3,"['University of California, Berkeley']",15
595,Thalmann,4,['University of Geneva'],592
596,Thompson,9,"['University of California, Berkeley']",170
597,Thrun,3,"['University of Bonn', 'University of Hildesheim']",328
598,Tichy,0,"['Technische Universität München', 'Carnegie Mellon University']",207
599,Toda,0,[],41
600,Torvalds,3,"['University of Helsinki', '[2]']",2
601,Quevedo,1,"[""Official School of the Road Engineers' Corps of Madrid"", 'es']",4
602,Toussaint,11,['University of Tulsa'],212
603,Townsend,2,['Indiana University'],42
604,Tozer,0,[],3
605,Traub,0,[],102
606,Tucker,0,['University of Warwick'],182
607,Tukey,7,"['Brown University', 'Princeton University']",11
608,Turing,2,"['University of Cambridge', 'BA', 'MA', 'Princeton University']",22
609,Turner,0,"['D.Phil.', 'University of Oxford']",361
610,Turoff,1,"['University of California - Berkeley', 'Brandeis University']",135
611,Ullman,4,"['Columbia University', 'Princeton University']",343
612,Valiant,6,"['University of Cambridge', 'Imperial College London', 'University of Warwick']",119
613,Vapnik,11,"['Institute of Control Sciences, Russian Academy of Sciences', 'Uzbek State University']",85
614,Vardi,7,"['Bar-Ilan University', 'Weizmann Institute of Science', '[4]', 'Hebrew University of Jerusalem']",772
616,Vauquois,0,['Ph.D.'],12
617,Vazirani,2,"['MIT', 'University of California, Berkeley']",112
618,Veloso,3,"['Instituto Superior Técnico', 'University of Lisbon', 'Boston University', 'Carnegie Mellon University']",626
619,Vernadat,0,['University of Clermont'],97
620,Veryard,0,['Open University'],8
621,Vilkomir,4,"['Kharkov State University', 'Kharkov Polytechnic Institute']",39
622,Vitányi,8,"['Delft University of Technology', 'Free University of Amsterdam']",254
623,Viterbi,8,"['Massachusetts Institute of Technology', 'BS', 'MS', 'University of Southern California', 'PhD']",51
624,Vitter,0,"['University of Notre Dame', 'BS', 'Duke University', 'MBA', 'Stanford University', 'PhD']",307
625,Vixie,0,['Keio University'],35
626,Wada,0,['University of Tokyo'],7
627,Wagner,0,[],637
628,Waltz,2,['Massachusetts Institute of Technology'],60
629,Wang,2,"['Stanford University', 'M.S.', 'M.S.', 'Ph.D.', 'University of Minnesota', 'B.S.']",2841
630,Ward,0,[],142
631,Warmuth,3,"['University of Colorado, Boulder']",241
632,Warren,0,['University of Edinburgh'],598
633,Warwick,4,"['Aston University', 'Imperial College London']",120
634,Węglarz,0,['Poznań University of Technology'],72
635,Wadler,4,"['Stanford University', 'Carnegie Mellon University']",169
636,Wegner,2,['[1]'],154
637,Wegstein,0,"['University of Illinois', 'B.S.', 'M.S.']",12
638,Weinberger,0,"['University of California, Berkeley']",20
639,Weiser,0,['University of Michigan'],69
640,Weizenbaum,0,['Wayne State University'],19
641,Wheeler,3,['University of Cambridge'],208
642,Westervelt,0,[],2
643,Whittaker,3,[],205
644,Widom,6,"['Cornell University', 'Indiana University Jacobs School of Music']",218
645,Wiederhold,3,"['University of California, San Francisco']",204
646,Wiener,2,"['Tufts College', 'BA', 'Cornell University', 'MA', 'Harvard University', 'PhD']",5
647,Wijngaarden,2,['Delft University of Technology'],48
648,Wilkes,0,"['Wellesley College', 'Harvard Law School']",84
649,Wilkes,5,['University of Cambridge'],84
650,Wilks,1,['University of Cambridge'],199
651,Wilkinson,3,"['Trinity College, Cambridge']",69
652,Wilson,6,"['Selwyn College, Cambridge', 'University of Cambridge']",17
653,Winograd,0,"['New York University', 'Massachusetts Institute of Technology']",117
654,Winograd,1,"['Colorado College', 'Massachusetts Institute of Technology']",117
655,Winston,1,"['MIT', '[1]']",55
656,Wirth,5,"['BS', 'MSc', 'Université Laval', 'University of California, Berkeley']",92
657,Wiseman,0,"['University of Cambridge', 'University of Illinois', 'Queen Mary College']",28
659,Wolfram,2,"[""St. John's College, Oxford"", 'California Institute of Technology']",51
661,Woodward,3,['Oxford University'],26
662,Worsley,3,"['University of Toronto', 'Massachusetts Institute of Technology', 'University of Cambridge']",2
663,Wozniak,13,"['University of Colorado Boulder', 'De Anza College', 'University of California, Berkeley', 'BS', '[3]']",13
664,Wu,0,[],6947
665,Wulf,0,"['University of Illinois Urbana-Champaign', 'University of Virginia']",149
666,Yannakakis,2,"['National Technical University of Athens', 'Princeton University']",290
667,Yao,4,"['National Taiwan University', 'Harvard University', 'University of Illinois at Urbana–Champaign']",444
668,Yen,2,"['University of California, Berkeley', 'Santa Clara University', 'National Taiwan University', 'National Hsinchu Senior High School']",414
670,Yourdon,1,['Massachusetts Institute of Technology'],18
671,Yung,6,['Columbia University'],604
672,Zadeh,12,"['University of Tehran', 'Massachusetts Institute of Technology', 'Columbia University']",195
673,Zantema,0,['University of Amsterdam'],118
674,Zaman,0,"['Stanford University', '[2]', 'Harvey Mudd College', 'Claremont Graduate University']",35
675,Zdonik,0,['Massachusetts Institute of Technology'],194
