Index,Surname,#Awards,Education,DBLP
54,Bouwman,0,['VU University Amsterdam'],125
55,Bowen,4,"['University College', 'Oxford']",306
56,Boyer,0,"['Ph.D.', 'Mathematics']",116
57,Brandenburg,1,['University of Erlangen-Nuremberg'],25
58,Brassard,3,[],133
59,Breed,2,[],11
60,Bresenham,0,['Winthrop University'],13
61,Brin,5,"['University of Maryland, College Park', 'BS', 'Stanford University', 'MS']",20
62,Brinkkemper,0,['University of Amsterdam'],294
63,Brooks,1,"['Stanford University', 'Flinders University']",65
64,Brooks,5,"['Duke University', 'Harvard University']",65
65,Brown,0,['University of Pennsylvania'],1466
66,Burnett,0,[],264
67,Butler,0,"['Trinity College, Dublin', 'Wolfson College', 'Oxford']",347
68,Böhm,0,['ETH Zürich'],30
69,Cailliau,13,"['Ghent University', 'University of Michigan']",13
70,Camp,2,"['The College of William and Mary', 'Michigan State University', 'Kalamazoo College']",125
71,Campbell-Kelly,0,['Sunderland Polytechnic'],47
72,Candlin,0,['University of Cambridge'],4
73,Cantrill,0,[],11
74,Cardelli,2,"['University of Pisa', 'University of Edinburgh']",248
75,Carmack,0,['University of Missouri–Kansas City'],5
76,Caspersen,8,"['Aarhus U.', 'Aarhus U.', '[11]', 'PhD', 'Aarhus U.']",62
77,Catmull,4,['University of Utah'],12
78,Cerf,12,"['Stanford University', 'BS', 'University of California, Los Angeles', 'MS', 'PhD']",273
79,Chaitin,0,[],45
80,Chaochen,3,[],39
81,Chen,7,"['National Taiwan University', 'Harvard University']",3157
82,Chiariglione,8,['Polytechnic University of Turin'],26
83,Church,0,"['Princeton University', 'BS', 'PhD']",6
84,Ciaramella,0,[],11
85,Clarke,1,['Cornell University'],323
86,Cocke,6,['Duke University'],41
87,Codd,3,"['Exeter College, Oxford', 'University of Michigan']",55
88,Cohen,0,[],85
89,Colmerauer,0,[],28
90,Colton,0,"['Durham University', 'University of Liverpool', 'University of Edinburgh']",158
91,Comer,8,[],86
92,Compton,0,[],112
93,Conway,2,"['Cornell', 'PhD', 'Cornell']",53
94,Cook,8,"['Harvard University', 'University of Michigan']",229
95,Cooley,0,[],34
96,Cooper,0,"['University of California, Los Angeles', 'BA']",2
97,Corbató,2,"['California Institute of Technology', 'Massachusetts Institute of Technology']",17
98,Cormack,0,[],133
99,Cousot,8,['École Nationale Supérieure des Mines de Nancy'],123
100,Cox,4,"['University College London', 'Oxford University']",179
101,Cristianini,3,"['University of Trieste', 'University of London', 'University of Bristol']",145
102,Croft,8,['Monash University'],0
103,Crowcroft,2,"['University of Cambridge', 'University College London']",556
104,Culler,5,"['University of California, Berkeley', 'University of California, Los Angeles']",7
105,Curry,0,"['Harvard University', 'University of Göttingen']",12
106,Dadda,0,['Politecnico di Milano'],29
107,Dahl,2,['University of Oslo'],27
108,Dahl,0,"['UC San Diego', 'University of Rochester']",27
109,Dam,0,[],103
110,Das,0,"['Georgia Tech', 'Indian Institute of Science', 'Jadavpur University']",332
111,Daswani,0,"['Stanford University', 'Columbia University']",14
112,Date,0,['University of Cambridge'],127
113,Davis,0,"[""Bachelor's degree"", 'computer engineering', ""master's degree"", 'electrical engineering', 'Arizona State University']",22
114,DeMarco,2,"['Cornell University', 'Columbia University', 'University of Paris']",40
115,DeMillo,0,"['University of St. Thomas', 'Georgia Institute of Technology']",61
116,Dean,6,"['University of Minnesota', 'University of Washington']",232
117,Demaine,3,"['Dalhousie University', 'University of Waterloo']",740
118,Denning,2,"['University of Michigan', 'Purdue University']",305
119,Denning,2,"['Massachusetts Institute of Technology', '[1]', 'Manhattan College']",305
120,Dertouzos,0,[],17
121,Dewar,0,"['University of Chicago', 'B.S.', 'Ph.D.']",54
122,Dewdney,0,[],0
123,Dham,0,"['Delhi College of Engineering', 'Delhi Technological University', 'Delhi University', 'University of Cincinnati']",2
124,Dietz,0,['Eindhoven University of Technology'],172
125,Diffie,6,['Massachusetts Institute of Technology'],43
126,Dijkstra,5,"['Leiden University', 'University of Amsterdam']",97
127,Dillon,0,"['University of California, Berkeley']",27
128,Dix,0,[],287
129,Dongarra,15,"['Chicago State University', 'BS', 'Illinois Institute of Technology', 'MS', 'University of New Mexico', 'PhD']",985
130,Dorigo,0,[],312
131,Dourish,7,['Computer Science'],156
132,Draper,6,"['Massachusetts Institute of Technology', 'Stanford University']",12
133,Dumais,1,"['Indiana University', 'Bates College']",208
134,Dunkels,0,"['Swedish Institute of Computer Science', 'B.S.', 'M.S.', 'Ph.D.']",55
135,Dunn,11,"['Oberlin College', 'University of Pittsburgh']",142
136,Dustdar,0,[],912
137,Eades,0,[],221
138,Eckert,4,['University of Pennsylvania'],0
139,Edelman,7,"['MIT', 'Yale University']",88
140,Eich,0,"['University of Illinois Urbana-Champaign', 'Santa Clara University']",13
141,Emerson,2,"['Harvard', 'UT Austin']",0
142,Engelbart,7,"['Oregon State University', 'University of California, Berkeley']",18
143,Engelhardt,2,"['Stanford University', 'University of California, Berkeley']",63
144,Eppstein,0,"['Stanford University', 'Columbia University']",677
145,Etzioni,2,"['Harvard University', 'Carnegie Mellon University']",187
146,Evans,0,"['University College London', 'University of Reading']",1221
147,Evans,3,[],1221
148,Even,0,['Harvard University'],119
149,Fahlman,3,"['Massachusetts Institute of Technology', 'B.S.', 'M.S.', 'Ph.D.']",34
150,Fayed,0,"['Menoufia University', 'King Saud University']",17
151,Feigenbaum,4,['Carnegie Mellon University'],44
152,Felten,2,"['California Institute of Technology', 'BS', 'University of Washington', 'MS', 'PhD']",114
153,Finin,3,['University of Illinois'],357
154,Finkel,0,['University of Chicago'],66
155,Firesmith,0,['Arizona State University'],60
156,Fischer,8,"['University of British Columbia', 'University of Cambridge']",22
157,Flake,0,[],32
158,Floyd,1,"['University of California, Berkeley']",83
159,Floyd,2,"['University of Chicago', 'B.A.']",83
160,Fogel,0,"['New York University', 'Rutgers University', 'University of California, Los Angeles']",22
161,Foley,11,"['University of Michigan', 'Lehigh University']",151
162,Forbus,0,"['Massachusetts Institute of Technology', 'BS', 'MS', 'PhD']",208
163,Fortnow,7,"['Cornell University', 'Massachusetts Institute of Technology']",235
164,Fowler,0,"['University College London', 'BSc', '[1]']",69
165,France,2,"['University of the West Indies', 'Trinidad and Tobago', 'Massey University', 'New Zealand']",2456
166,Franke,9,[],37
167,Fredkin,2,['California Institute of Technology'],8
168,Freund,2,"['The Hebrew University of Jerusalem', 'University of California, Santa Cruz']",113
169,Friedman,0,"['University of Houston', '[1]']",253
170,Fu,6,[],528
171,Fu,53,"['University of California, San Diego']",528
172,Fukushima,1,['Kyoto University'],91
173,Fulkerson,5,"['Southern Illinois University', 'University of Wisconsin–Madison']",0
174,Gabriel,2,"['Northeastern University', 'Massachusetts Institute of Technology', 'University of Illinois', 'Stanford University', 'Warren Wilson College']",415
175,Galil,3,"['Tel Aviv University', 'BSc', 'MSc', 'Cornell University', 'PhD']",199
176,Galler,0,"['University of Chicago', 'UCLA']",57
177,García-Molina,3,"['Monterrey Institute of Technology and Higher Education', 'BS', 'Stanford University', 'MS', 'PhD']",468
178,Garey,0,['University of Wisconsin–Madison'],63
179,Garis,0,[],95
180,Gates,4,['Harvard University'],9
181,Gelernter,3,"['Yale University', 'BA', 'State University of New York at Stony Brook', 'PhD']",68
182,Geschke,3,"['Xavier University', 'AB', 'MS', 'Carnegie Mellon University', 'PhD']",11
183,Ghahramani,3,"['University of Pennsylvania', 'Massachusetts Institute of Technology']",322
184,Ghemawat,1,"['Cornell University', 'MIT']",28
185,Gibbons,0,"['University of Edinburgh', 'B.Sc.', 'University of Oxford', 'D.Phil.']",162
186,Gil,3,[],237
187,Gilbert,1,"['Miami University', 'University of Cincinnati']",228
188,Giles,7,"['Rhodes College', 'University of Tennessee', 'University of Michigan', 'University of Arizona']",591
189,Ginsburg,0,"['City College of New York', 'University of Michigan']",117
190,Glass,0,[],486
191,Goel,3,['Ohio State University'],266
192,Goguen,0,"['Harvard University', 'University of California, Berkeley']",137
193,Gold,0,[],0
194,Goldberg,2,"['Massachusetts Institute of Technology', 'University of California, Berkeley']",154
195,Goldberg,0,"['University of California, Berkeley', 'University of Waterloo']",154
196,Goldberg,0,"['University of Michigan', 'University of Chicago']",154
197,Goldreich,2,"['Technion', 'Weizmann Institute']",526
198,Goldsmith,0,[],166
199,Goldwasser,11,"['Carnegie Mellon University', 'University of California, Berkeley']",234
200,Golub,0,['University of Illinois at Urbana-Champaign'],118
201,Golumbic,0,[],110
202,Gonnet,1,['University of Waterloo'],102
203,Goodfellow,0,"['Stanford University', 'Université de Montréal']",110
204,Gosling,7,"['University of Calgary', 'BSc', 'Carnegie Mellon University', 'MA', 'PhD']",15
205,Graham,0,"['Cornell University', 'Harvard University']",111
206,Graham,5,"['Harvard', 'Stanford']",111
207,Graham,0,[],111
208,Gray,2,"['University of California, Berkeley']",243
209,Greibach,0,"['Radcliffe College', 'Harvard University']",77
210,Gries,4,"['B.S.', 'Queens College', 'M.S.', 'University of Illinois at Urbana-Champaign', 'Dr. rer. nat.', 'Technical University of Munich']",158
211,Griesemer,0,[],10
212,Griswold,0,[],47
213,Gropp,2,['Stanford University'],310
214,Gruber,0,['Loyola University New Orleans'],43
215,Guha,16,"['Indian Institute of Technology Madras', 'University of California, Berkeley', 'Stanford University']",44
216,Gunther,9,"['La Trobe University', 'University of Southampton']",59
217,Gutknecht,0,"['Ph.D.', 'ETH Zurich']",47
218,Guy,0,[],579
219,Gödel,3,"['University of Vienna', 'PhD']",4
220,Habermann,0,"['Free University of Amsterdam', 'Eindhoven University of Technology']",34
221,Hahn,0,[],66
222,Hall,1,"['University of Washington', 'Rutgers University', 'Eastern Nazarene College', 'Boston University', 'Massachusetts Institute of Technology', 'Harvard University']",289
223,Hall,2,"['University of Southampton', 'City University London', '[5]']",289
224,Halpern,3,['University of Toronto'],634
225,Hamilton,1,"['University of Michigan', 'Earlham College', 'BA']",132
226,Hamming,4,"['University of Chicago', 'University of Nebraska', 'University of Illinois at Urbana–Champaign']",23
227,Han,0,"['University of Wisconsin - Madison', 'PhD', 'University of Science and Technology of China', 'BSc.']",1513
228,Hansen,1,['Technical University of Denmark'],281
229,Harary,0,"['Brooklyn College', 'University of California, Berkeley']",117
230,Harris,0,"['School of Oriental and African Studies', 'American University in Cairo', ""Quai d'Orsay""]",151
231,Hartmanis,2,"['University of Marburg', 'University of Kansas City', 'Caltech']",135
232,Hatton,2,"[""King's College, Cambridge""]",50
233,Hawryszkiewycz,0,[],149
234,Hehner,0,"['Carleton University', 'B.Sc.', 'University of Toronto', 'M.Sc.', 'Ph.D.']",52
235,Heiser,6,"['University of Freiburg', 'Brock University', 'ETH Zurich']",130
236,Hellman,9,"['New York University', 'Stanford University']",72
237,Hendler,0,"['Yale University', 'Southern Methodist University', 'Brown University']",311
238,Hennessy,9,"['Villanova University', 'BS', 'Stony Brook University', 'MS', 'PhD']",129
239,Herbert,0,['Leeds University'],139
240,Hewitt,0,['MIT'],67
241,Hightower,0,[],4
242,Hinton,9,"['University of Cambridge', 'BA', 'University of Edinburgh']",294
243,Hirschberg,10,"['University of Pennsylvania', 'University of Michigan']",229
244,Ho,7,['Chinese University of Hong Kong'],4275
245,Hoare,7,"['University of Oxford', 'Moscow State University']",194
246,Hodes,0,"['B.S.', 'Polytechnic Institute of Brooklyn', 'Ph.D.', 'MIT']",16
247,Holland,3,['University of Michigan'],104
248,Holzmann,2,['Delft University of Technology'],149
249,Hopcroft,8,"['Seattle University', 'Stanford University']",203
250,Hopper,9,"['Vassar College', 'BA', 'Yale University', 'MS', 'PhD']",8
251,Horvitz,0,['Stanford University'],422
252,Householder,0,['University of Chicago'],12
253,Hudak,6,"['Vanderbilt University', 'B.S.', 'Massachusetts Institute of Technology', 'M.S.', 'University of Utah', 'Ph.D.']",102
254,Huffman,2,"['Ohio State University', 'Massachusetts Institute of Technology']",46
255,Hughes,3,"['University of Oxford', 'PhD']",534
256,Hui,1,"['University of Alberta', 'University of Toronto']",109
257,Humphrey,1,['United States Navy'],51
258,Hutchins,0,[],3
259,Håstad,4,"['Massachusetts Institute of Technology', 'Uppsala University', 'Stockholm University']",179
260,Ichbiah,6,[],11
261,Ierusalimschy,0,['Pontifical Catholic University of Rio de Janeiro'],73
262,Ingalls,2,"['Harvard University', 'B.A.', 'Stanford University', 'M.S.']",33
263,Irwin,3,"['University of Illinois at Urbana-Champaign', 'Memphis State University']",379
264,Iverson,4,"[""Queen's University"", 'Harvard University']",45
265,Jacobson,0,"['Chalmers Institute of Technology', 'Gothenburg', 'Royal Institute of Technology', 'Stockholm']",73
266,Jain,10,"['Indian Institute of Technology, Kanpur', 'Ohio State University']",569
267,Jain,0,"['Indian Institute of Technology, Kharagpur', 'Visvesvaraya National Institute of Technology Nagpur']",569
268,James,0,[],1228
269,Jifeng,0,['Fudan University'],311
270,Johnson,2,"['Amherst College', 'MIT']",453
271,Johnson,0,"['Columbia University', 'Haverford College']",453
272,Jones,3,['University of Cambridge'],662
273,Jones,0,"['Tennessee State University', 'North Carolina State University']",662
274,Jones,0,['University of Oxford'],662
275,Jordan,5,"['University of California, San Diego']",1216
276,Joseph,2,"['Wilson College, Mumbai', 'University of Bombay', 'Welsh College of Advanced Technology', 'University of Cambridge']",51
277,Joshi,12,"['College of Engineering, Pune', 'Indian Institute of Science', 'University of Pennsylvania']",192
278,Joy,4,"['University of Michigan', 'University of California, Berkeley']",41
279,Jr.,2,"['BA', 'Harvard University', 'MS', 'PhD', 'MIT']",178
280,Jr.,0,[],178
281,Jurafsky,2,"['University of California at Berkeley', '[2]']",317
282,Kaehler,0,"['Stanford University', 'B.S.', 'Carnegie Mellon University', 'MSc']",7
283,Kahan,4,['University of Toronto'],37
284,Kahn,12,"['City College of New York', 'Princeton University']",17
285,Kak,0,"['University of Madras', 'Indian Institute of Technology, Delhi']",180
286,Karger,1,"['Harvard University', 'Stanford University']",297
287,Karmarkar,11,"['IIT Bombay', 'Caltech', 'University of California, Berkeley']",22
288,Karp,10,['Harvard University'],343
289,Karpinski,0,[],349
290,Kay,3,"['University of Colorado at Boulder', 'BS', 'University of Utah College of Engineering', 'MS', 'PhD']",110
291,Kayal,8,['IIT Kanpur'],78
292,Kellis,3,['Massachusetts Institute of Technology'],46
293,Kemeny,2,['Princeton University'],11
294,Kennedy,0,"['Rice University', 'New York University']",3115
295,Kernighan,0,"['University of Toronto', 'BASc', 'Princeton University', 'PhD']",54
296,Kesselman,0,[],172
297,Khan,10,"['University of Malaya', 'COMSATS University']",119
298,Kiczales,0,['Massachusetts Institute of Technology'],69
299,Kirstein,3,"['University of Cambridge', 'Stanford University']",56
300,Kleene,2,"['Amherst College', 'Princeton University']",12
301,Klein,4,"['Cornell University', 'University of Oxford', 'Stanford University']",877
302,Kleinrock,5,"['City College of New York', 'MIT']",180
303,Knuth,14,"['Case Institute of Technology', 'BS', 'MS', 'California Institute of Technology', 'PhD']",186
304,Koenig,0,['Columbia University'],74
305,Koller,5,"['Hebrew University of Jerusalem', 'Stanford University']",264
306,Kolmogorov,7,"['Moscow State University', 'Ph.D.']",7
307,Kolodner,2,"['Brandeis University', 'Yale University']",70
308,Korn,0,[],131
309,Koster,0,['University of Amsterdam'],51
310,Kowalski,2,"['University of Chicago', 'University of Bridgeport', 'BA', 'Stanford University', 'MSc', 'University of Warsaw', 'University of Edinburgh', 'PhD']",140
311,Koza,0,[],90
312,Krogstie,0,[],261
313,Kruskal,0,"['University of Chicago', 'Princeton University']",10
314,Kruusmaa,4,"['Tallinn University of Technology', 'Chalmers University of Technology']",57
315,Kurtz,2,"['Princeton University', 'Knox College', 'mathematics']",44
316,Kölling,3,"['University of Bremen', 'University of Sydney']",119
317,Ladner,5,"[""St. Mary's College of California"", 'University of California, Berkeley']",254
318,Lam,9,['Carnegie Mellon University'],224
319,Lamport,6,"['Massachusetts Institute of Technology', 'BS', 'Brandeis University', 'MA', 'PhD']",173
320,Lampson,6,"['Harvard University', 'University of California, Berkeley']",82
321,Landin,0,"['Clare College', 'Cambridge University']",40
322,Lane,0,"['Carnegie Mellon University', 'Ph.D.']",86
323,Langefors,0,['Stockholm University'],9
324,Lattner,2,"['University of Portland', 'University of Illinois at Urbana-Champaign']",14
325,Lawrence,8,[],350
326,Lazowska,0,"['Brown University', 'University of Toronto']",107
327,LeCun,3,"['ESIEE Paris', 'MS', 'Pierre and Marie Curie University', 'PhD']",345
328,Lederberg,3,"['Stuyvesant High School', 'Columbia University', 'Yale University']",6
329,Leiserson,0,"['Carnegie Mellon University', 'Yale University']",136
330,Lenat,2,"['University of Pennsylvania', 'Stanford University']",65
331,Lerdorf,0,['University of Waterloo'],5
332,Levin,2,"['Moscow University', 'Massachusetts Institute of Technology']",96
333,Leyton-Brown,1,"['McMaster University', 'Stanford University']",195
334,Licklider,0,"['Washington University in St. Louis', 'University of Rochester']",0
335,Liddle,0,[],57
336,Liedtke,0,"['Bielefeld University', 'Technical University of Berlin']",39
337,Lindsey,0,[],17
338,Lions,0,"['University of Sydney', 'University of Cambridge']",10
339,Lipton,2,['Carnegie Mellon'],236
340,Liskov,3,"['University of California, Berkeley', 'Stanford University']",163
341,Liu,0,"['Cornell University', 'Tsinghua University', 'Peking University']",389
342,Long,2,"['San Diego State University', 'University of California, San Diego']",217
343,Lopez,1,['New Mexico State University'],274
344,Lovegrove,0,"['Newnham College, Cambridge', 'Cambridge University']",7
345,Luckham,0,"['Ph.D.', 'MIT']",53
346,Luks,3,[],41
347,Lynch,7,"['Brooklyn College', 'MIT']",389
348,Maibaum,1,"['B.Sc.', 'University of Toronto', 'Ph.D.', 'University of London']",200
349,Manna,4,"['Technion – Israel Institute of Technology', 'Carnegie Mellon University']",190
350,Marlow,2,"['University of Glasgow', 'University of Bristol']",49
351,Martin,0,[],5384
352,Martin,3,['University of Oxford'],5384
353,Mashey,0,[],18
354,Matiyasevich,3,['Leningrad State University'],46
355,Matsumoto,0,"['University of Tsukuba', 'Shimane University']",22
356,Mauchly,3,['Johns Hopkins University'],4
357,Maulik,11,"['Nabadwip Bakultala High School', 'Calcutta University', 'Jadavpur University']",212
358,McAuley,1,['University of Cambridge'],86
359,McCallum,1,"['Dartmouth College', 'University of Rochester', '[2]']",420
360,McCarthy,6,"['Princeton University', 'California Institute of Technology']",300
361,McIlroy,3,"['Cornell University', 'Massachusetts Institute of Technology']",26
362,McKinstry,0,[],5
363,McKusick,0,"['University of California, Berkeley']",40
364,Meertens,2,[],33
365,Mehlhorn,4,"['Cornell University', '[2]']",449
366,Meyer,3,"['Université de Nancy', 'Stanford University', 'École Polytechnique']",367
367,Micali,3,"['La Sapienza University of Rome', 'UC Berkeley']",168
368,Milner,5,[],108
369,Minker,2,"['Brooklyn College', 'University of Wisconsin', 'University of Pennsylvania']",156
370,Minsky,6,"['Harvard University', 'BA', 'Princeton University', 'MA', 'PhD']",33
371,Mitchell,2,"['University of Waterloo', 'Carnegie Mellon University']",365
372,Mitchell,3,"['Stanford University', 'Massachusetts Institute of Technology']",365
373,Mockapetris,4,"['Massachusetts Institute of Technology', 'University of California at Irvine']",13
374,Moler,2,"['California Institute of Technology', 'Stanford University']",24
375,Moller,0,"['University of British Columbia', 'University of Waterloo', 'University of Edinburgh']",77
376,Moon,0,['Pennsylvania State University'],334
377,Moore,0,[],173
378,Moore,0,"['Virginia Tech', 'Brown University']",173
379,Moore,9,"['University of California, Berkeley', 'BS', 'California Institute of Technology', 'PhD']",173
380,Moore,0,[],173
381,Moore,4,['Stanford University'],173
382,Moravec,0,"['Acadia University', '[1]', 'University of Western Ontario', '[1]', 'Stanford University', '[1]']",18
383,Morgan,0,"['Ph.D.', 'University of Sydney']",132
384,Morris,0,"['Harvard University ', 'Cornell University']",637
385,Moses,0,"['BA', 'MA', 'Columbia University', 'PhD', 'mathematics', 'MIT']",28
386,Motwani,1,"['IIT Kanpur', 'B.Tech', 'C.S.', 'UC Berkeley', 'Ph.D.', 'C.S.']",211
387,Muggleton,4,['University of Edinburgh'],209
388,Mukhanov,0,[],4
389,Mycroft,0,"['University of Cambridge', 'University of Edinburgh']",122
390,Myers,8,"['University of Toronto', 'Massachusetts Institute of Technology']",375
391,Nadin,0,[],49
392,Nagao,8,['Kyoto University'],104
393,Nake,9,[],29
394,Nardi,0,[],181
395,Naur,2,['Technical University of Denmark'],43
396,Needham,2,['University of Cambridge'],87
397,Nell,0,['Drexel University'],38
398,Nelson,2,"['Harvard University', 'Stanford University']",140
399,Neumann,6,"['Pázmány Péter University', 'University of Berlin', 'ETH Zürich']",122
400,Neumann,0,[],122
401,Neumann,0,[],122
402,Newell,5,"['Stanford University', 'Princeton University', 'Carnegie Mellon University']",78
403,Newman,3,"[""St John's College, Cambridge""]",24
404,Ng,9,"['University of California, Berkeley', 'Massachusetts Institute of Technology', 'Carnegie Mellon University']",1002
405,Nijssen,0,['Eindhoven University of Technology'],0
406,Nilsson,6,['Stanford University'],1832
407,Nipkow,0,[],219
408,Nivat,7,['Joseph Fourier University'],110
409,Noe,0,"['UC Berkeley', 'Stanford University']",21
410,Nordin,0,"['University of Dortmund', 'Chalmers University of Technology', 'Göteborg University']",50
411,Norman,4,"['MIT', 'University of Pennsylvania']",198
412,Norvig,2,"['Brown University', 'University of California, Berkeley']",41
413,Nygaard,4,"['M.Sc.', 'University of Oslo']",22
414,O'Hearn,9,"['Dalhousie University', ""Queen's University""]",110
415,O'Sullivan,2,[],207
416,Odersky,0,"['Ludwig Maximilian University of Munich', 'ETH Zurich']",140
417,Olle,0,['University of Manchester'],0
418,Omohundro,0,"['Stanford University', 'University of California, Berkeley']",6
419,Ornstein,0,[],11
420,Ousterhout,2,"[""Bachelor's degree"", 'Ph.D']",83
421,Overmars,0,['Utrecht University'],242
422,Owicki,0,['Cornell University'],36
423,Page,9,"['University of Michigan', 'BS', 'Stanford University', 'MS']",20
424,Pal,2,"['Rajabazar Science College', 'University of Calcutta', 'Indian Statistical Institute', 'Imperial College London']",426
425,Pandya,2,[],82
426,Papadimitriou,5,"['Athens Polytechnic', 'Princeton University']",576
427,Park,0,"['University of Oxford', 'Massachusetts Institute of Technology']",1883
428,Parnas,0,[],182
429,Paterson,2,"['Ph.D.', 'University of Cambridge']",154
430,Patt,6,[],216
431,Patterson,6,"['University of California, Los Angeles']",452
432,Paulson,1,"['California Institute of Technology', 'Stanford University']",223
433,Pausch,5,"['Brown University', 'Carnegie Mellon University']",81
434,Pavón,0,"['Technical University of Madrid', 'Université Pierre et Marie Curie']",200
435,Pearl,5,"['Technion – Israel Institute of Technology', 'New Jersey Institute of Technology', 'Rutgers University', 'New York University Tandon School of Engineering']",309
436,Perlis,2,"['Chemistry', 'Carnegie Mellon', 'MIT']",52
437,Perlman,11,['MIT'],67
438,Perotto,0,[],4
439,Pham,0,"['Georgia Institute of Technology', 'Supélec', 'MIT Media Lab', 'Harvard University']",4
440,Pieraccini,11,['University of Pisa'],84
441,Pingali,3,"['IIT Kanpur', 'MIT']",226
442,Plotkin,3,"['University of Glasgow', 'University of Edinburgh']",161
443,Pnueli,2,['Stanford University'],277
444,Poel,2,"['Delft University of Technology', 'B.S.', 'University of Amsterdam', 'Ph.D.']",179
445,Post,0,"['City College of New York', '[1]', 'Columbia University', '[2]']",162
446,Postel,6,['UCLA'],231
447,Preparata,2,['University of Rome'],199
448,Press,0,"['Harvard University', 'California Institute of Technology']",201
449,Péter,0,[],8
450,Pătrașcu,0,['Massachusetts Institute of Technology'],97
451,Quevedo,1,"[""Official School of the Road Engineers' Corps of Madrid"", 'es']",4
452,Rabin,10,"['Hebrew University of Jerusalem', 'MSc', 'University of Pennsylvania', 'Princeton University', 'PhD']",268
453,Radev,2,[],310
454,Raman,4,[],0
455,Randell,0,['Imperial College London'],112
456,Ravn,2,"['University of Copenhagen', 'Technical University of Denmark']",132
457,Reddy,6,"['University of Madras', 'BE', 'University of New South Wales', 'MTech', 'Stanford University', 'PhD']",733
458,Reed,0,['MIT'],322
459,Reenskaug,0,[],18
460,Reynolds,2,"['Purdue University', 'Ph.D.', 'Harvard University']",70
461,Reynolds,0,['University of Southern California'],70
462,Richards,0,[],185
463,Richards,1,['University of Cambridge'],185
464,Ries,0,[],16
465,Rijsbergen,1,"['University of Western Australia', 'University of Cambridge']",0
466,Ritchie,8,"['Harvard University', 'BS']",16
467,Rivest,5,"['Stanford University', 'Yale University']",234
468,Robinson,2,['University of Sydney'],113
469,Rolland,0,['University of Nancy'],178
470,Romero,0,[],164
471,Rosenfeld,3,[],461
